tempObjectNumber: 1, Title: Bronze bird,  Period: Geometric,  Date: ca. 750–700 B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 4 in. (10.2 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1935,  Accession Number: 35.11.14
tempObjectNumber: 2, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.6 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.186
tempObjectNumber: 3, Title: Lekythos,  Period: Classical,  Date: 2nd quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure white-ground,  Dimensions: Diameter: 2 1/2 × 1 13/16 in. (6.4 × 4.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.245
tempObjectNumber: 4, Title: Terracotta boar figurine,  Period: Early Cypriot III–Middle Cypriot I,  Date: ca. 2000–1800 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.834
tempObjectNumber: 5, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 1 3/8 x 3 5/8 in. (3.5 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2152
tempObjectNumber: 6, Title: Focolare,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (height without heads): 5 3/4in. (14.6cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.116a
tempObjectNumber: 7, Title: Tablet,  Medium: Clay,  Dimensions: 5 1/4 × 1 13/16 × 3/4 in. (13.4 × 4.6 × 1.9 cm),  Classification: Miscellaneous-Clay,  Accession Number: 13.230.9
tempObjectNumber: 8, Title: Marble portrait of the co-emperor Lucius Verus,  Period: Mid-Imperial Antonine,  Date: A.D. 161–169,  Culture: Roman,  Medium: Marble,  Dimensions: H. 14 1/2 in. (36.8 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1913,  Accession Number: 13.227.1
tempObjectNumber: 9, Title: Silver bracelet in the form of a snake,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Silver,  Dimensions: Diameter: 1 7/8 in. 0.9oz. (4.8 cm 26.7g),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.111
tempObjectNumber: 10, Title: Glass double cosmetic flask (kohl tube),  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman Syrian,  Medium: Glass; blown tooled and trailed,  Dimensions: H.: 4 3/8 x 1 3/4 in. (11.1 x 4.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.200
tempObjectNumber: 11, Title: Standing nude female figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 4 7/16 in. (11.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1569
