tempObjectNumber: 1, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 15/16 x 13/16 in. (2.4 x 2.1 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5810
tempObjectNumber: 2, Title: Terracotta cosmetic vase,  Period: Archaic,  Date: 4th quarter of the 6th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: diameter  3 13/16in. (9.8cm),  Classification: Vases,  Credit Line: The Bothmer Purchase Fund 1977,  Accession Number: 1977.11.3
tempObjectNumber: 3, Title: Glass perfume bottle,  Period: Early or Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 4 1/16 in. (10.3 cm); diameter  2 1/16 in. (5.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.33
tempObjectNumber: 4, Title: Carnelian ring stone,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Length: 13/16 in. (2.1 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.64
tempObjectNumber: 5, Title: Jug,  Period: Early–Middle Cypriot,  Date: 2500–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 1/2in. (16.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1299
tempObjectNumber: 6, Title: Bracelet,  Medium: Bronze,  Dimensions: Diam.: 2 7/16 in. (6.2 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.436
tempObjectNumber: 7, Title: Glass bottle,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown in a dip mold,  Dimensions: H.: 3 3/4 in. (9.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.181
tempObjectNumber: 8, Title: Wall painting from Room H of the Villa of P. Fannius Synistor at Boscoreale,  Period: Late Republican,  Date: ca. 50–40 B.C.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 69 x 76in. (175.3 x 193cm),  Classification: Miscellaneous-Paintings,  Credit Line: Rogers Fund 1903,  Accession Number: 03.14.6
tempObjectNumber: 9, Title: Fibula boat-shaped type,  Medium: Bronze,  Dimensions: Other: 2 5/8 in. (6.7 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.365
tempObjectNumber: 10, Title: Gilded bronze bracelet,  Date: 6th–5th century B.C.,  Culture: Greek Cypriot,  Medium: Gold bronze,  Dimensions: Overall: 2 1/16 x 3/16 in. (5.2 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3562
tempObjectNumber: 11, Title: Banded agate cushion-shaped seal,  Period: Late Minoan IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Minoan,  Medium: Agate,  Dimensions: L. 1.73 cm; W. 1.23 cm; Thickness 0.63 cm,  Classification: Gems,  Credit Line: Purchase by exchange 1911,  Accession Number: 11.195.1
