tempObjectNumber: 1, Title: Earring with ball pendant and green stone setting,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 3/16 x 7/16 x 7/16 in. (0.5 x 1.1 x 1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3812
tempObjectNumber: 2, Title: Green glass oval engraved on both sides,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Greek,  Medium: Glass green,  Dimensions: Overall: 1 1/16 x 11/16 in. (2.7 x 1.8 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.445
tempObjectNumber: 3, Title: Terracotta lamp,  Date: ca. A.D. 75–125,  Culture: Roman Cypriot,  Medium: Terracotta; mold-made,  Dimensions: Overall: 1 3/4 x 4 1/8 in. (4.5 x 10.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1840
tempObjectNumber: 4, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H. 6 5/8 in. (16.8 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.83
tempObjectNumber: 5, Title: Glass bowl,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast and cut,  Dimensions: Overall: 2 3/8 x 4 1/4in. (6 x 10.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.257
tempObjectNumber: 6, Title: Gold amulet case,  Date: 1st–3rd century A.D.,  Culture: Roman Cypriot,  Medium: Gold,  Dimensions: Other: 1 3/8 in. (3.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3319
tempObjectNumber: 7, Title: Ladle-saucer or shovel,  Date: 4th century B.C.,  Medium: Terracotta,  Dimensions: Overall: 2 x 11 1/8 in. (5.1 x 28.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1890
tempObjectNumber: 8, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: Other: 5/8 × 3/16 × 5/8 in. (1.5 × 0.5 × 1.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3902
tempObjectNumber: 9, Title: Vase fragment,  Date: ca. 25 B.C.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 1/2 x 2 1/4in. (3.8 x 5.7cm),  Classification: Vases,  Credit Line: Gift of Piero Tozzi 1941,  Accession Number: 41.136.6
tempObjectNumber: 10, Title: Necklace,  Medium: Amber,  Dimensions: Length (average loscenge length ): 9/16 in. (1.5 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.53
tempObjectNumber: 11, Title: Terracotta biconical spindle-whorl with flat top,  Period: Early Cypriot I,  Date: ca. 2500–2075 B.C.,  Culture: Cypriot,  Medium: Terracotta; handmade,  Dimensions: H. 1 7/8 in. (4.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.940
tempObjectNumber: 12, Title: Bronze double-ax,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1700–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: length with handle  2 9/16in. (6.5cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1940,  Accession Number: 40.11.4
tempObjectNumber: 13, Title: Pendant in the form of a perfume bottle,  Medium: Gold garnet turquoise,  Dimensions: Other: 13/16 × 3/16 × 2 1/2 in. (2.1 × 0.5 × 6.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1897,  Accession Number: 97.28.7
tempObjectNumber: 14, Title: Gabbro mace head,  Period: Early Bronze Age,  Date: ca. 2500–1900 B.C.,  Culture: Cypriot,  Medium: Gabbro,  Dimensions: Overall: 2 1/2 x 2 1/2 x 2 1/2in. (6.3 x 6.3 x 6.3cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5017
tempObjectNumber: 15, Title: Terracotta statuette of a crouching woman,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek possibly Attic,  Medium: Back venting: back probably moldmade; no vent (?) open underneath.,  Dimensions: H. 4 5/8 in. (11.8 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1913,  Accession Number: 13.225.15
tempObjectNumber: 16, Title: Jug,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 4 5/16 in. (11 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.950
tempObjectNumber: 17, Title: Bronze footbath with its stand,  Period: Classical,  Date: late 5th–early 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: total H. 8 7/16 in. (21.5 cm),  Classification: Bronzes,  Credit Line: Purchase Joseph Pulitzer Bequest 1938,  Accession Number: 38.11.5a b
tempObjectNumber: 18, Title: Terracotta statuette of a seated goddess,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 5 5/16 in. (13.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1591
tempObjectNumber: 19, Title: Fragment of a terracotta dinos (deep round-bottomed bowl),  Period: Archaic,  Date: ca. 600 B.C.,  Culture: East Greek Chiot,  Medium: Terracotta,  Dimensions: 3 3/8 × 4 1/4 × 7/16 in. (8.6 × 10.8 × 1.2 cm),  Classification: Vases,  Credit Line: Subscription and Gift of The University Museum Philadelphia 1955,  Accession Number: 55.71.8
tempObjectNumber: 20, Title: Terracotta head of a panther,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: ,  Classification: Terracottas,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.9
tempObjectNumber: 21, Title: Glass double cosmetic flask (kohl tube),  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown tooled and trailed,  Dimensions: H.: 4 11/16 in. (11.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1314
tempObjectNumber: 22, Title: Terracotta antefix,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H.: 6 3/16 in. (15.7 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.10
tempObjectNumber: 23, Title: Earring-hook type with ball pendant and paste setting,  Medium: Gold glass paste,  Dimensions: Other: 5/16 × 9/16 × 1 in. (0.8 × 1.4 × 2.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3991
tempObjectNumber: 24, Title: Carnelian oval,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Carnelian,  Dimensions: Overall: 13/16 x 9/16 in. (2.1 x 1.5 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.701
tempObjectNumber: 25, Title: Miniature limestone amphora (jar),  Period: Late Cypriot IIIA,  Date: ca. 1200–1100 B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 4 5/8 x 4 3/8 in. (11.8 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5109
tempObjectNumber: 26, Title: Terracotta comic mask,  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 1 7/8 in. (4.8 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1520
tempObjectNumber: 27, Title: Statuette of a woman,  Medium: Terracotta,  Dimensions: Height: 12 9/16 in. (31.9 cm),  Classification: Terracottas,  Credit Line: Gift of Francis Neilson 1942,  Accession Number: 42.201.4
tempObjectNumber: 28, Title: Marble male portrait bust,  Period: Mid-Imperial Hadrianic,  Date: ca. A.D. 117–138,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 11 3/8 x 18 3/16 in. (28.9 x 46.2 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.68
tempObjectNumber: 29, Title: Tankard,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10 1/8in. (25.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1356
tempObjectNumber: 30, Title: Terracotta statuette of Eros seated and holding a duck,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1597
tempObjectNumber: 31, Title: Jug,  Period: Cypro-Archaic II–Cypro-Classical I,  Date: 600–400 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 3/16in. (10.6cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.557
tempObjectNumber: 32, Title: Kylix fragments,  Period: Archaic,  Date: ca. 530 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.392.16
tempObjectNumber: 33, Title: Vase fragment,  Period: Archaic,  Date: 7th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: 1 11/16 × 2 1/4 × 3/16 in. (4.3 × 5.8 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of Elinor R. Price 1926,  Accession Number: 26.211.3
tempObjectNumber: 34, Title: Terracotta male head wearing a wreath,  Period: Early Hellenistic,  Date: 3rd century B.C. (?),  Culture: Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 2 1/8 in. (5.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1505
tempObjectNumber: 35, Title: Terracotta pithoid jar,  Period: Late Helladic III,  Date: ca. 1400–1050 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 6 5/16 in. (16 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.765
tempObjectNumber: 36, Title: Kylix fragments,  Attribution: Douris,  Period: Late Archaic,  Date: ca. 490–480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.228.5a–i
