tempObjectNumber: 1, Title: Hinge,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 1 7/8in. (4.8cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5352
tempObjectNumber: 2, Title: Terracotta vase in the form of a bird,  Period: Early Corinthian,  Date: ca. 620–590 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 2 3/16 in. (5.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.22
tempObjectNumber: 3, Title: Bronze double-ax,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1700–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: Overall: 2 1/16 x 1 11/16 in. (5.3 x 4.3 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1940,  Accession Number: 40.11.5
tempObjectNumber: 4, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 7.29 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1983
tempObjectNumber: 5, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 8.9 cm.  H. 2.2 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1946
tempObjectNumber: 6, Title: Marble votive relief fragment of goddesses mother nurse and infant,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Marble Island,  Dimensions: h. 10 1/2in (26.7cm); w. 8 9/16in. (21.7cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.92
tempObjectNumber: 7, Title: Limestone statuette of a male votary (worshipper),  Period: Archaic,  Date: mid-6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H.: 10 1/2 x 5 1/2 x 3 1/2 in. (26.7 x 14 x 8.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2552
tempObjectNumber: 8, Title: Gold strap necklace with seedlike pendants,  Period: Hellenistic,  Date: ca. 330–300 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H. 1 1/4 in. (3.2 cm); length 12 3/4 in. (32.3 cm); length of terminals 13/16 in. (2 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1217.13
tempObjectNumber: 9, Title: Vase fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 3/4in. (7cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1681
tempObjectNumber: 10, Title: Bead ornaments in the form of female head,  Period: Classical,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Electrum,  Dimensions: Other: 7/16 × 7/16 × 3/16 in. (1.1 × 1.1 × 0.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.60
tempObjectNumber: 11, Title: Seal,  Culture: Minoan Crete,  Medium: Glass,  Dimensions: Other: 1/2 x 3/16 in. (1.3 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.194
tempObjectNumber: 12, Title: Bronze statuette of a human figure,  Period: Archaic,  Date: late 6th–early 4th century B.C.,  Culture: Italic Umbrian,  Medium: Bronze,  Dimensions: H.: 1 13/16 x 3/4 in. (4.6 x 1.9 cm),  Classification: Bronzes,  Credit Line: Gift of James David Draper 2007,  Accession Number: 2007.93.3
tempObjectNumber: 13, Title: Intaglio,  Medium: Lapis lazuli,  Dimensions: Other: 15/16 x 3/16 in. (2.3 x 0.4 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.236
tempObjectNumber: 14, Title: Fragment of a terracotta kylix (drinking cup),  Period: Classical,  Date: ca. 490–480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 1 5/8 x 1 1/4 x 1/8 in. (4.2 x 3.2 x 0.4 cm),  Classification: Vases,  Credit Line: Gift of the Honorable Iris Cornelia Love 2011,  Accession Number: 2011.603.22
tempObjectNumber: 15, Title: Bowl,  Period: Geometric,  Date: ca. 800 B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 2 11/16 in. (6.81 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.608
tempObjectNumber: 16, Title: Glass lentoid aryballos (perfume bottle),  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Glass; core-formed Group II,  Dimensions: h. 1 15/16 in. (4.9 cm); d.1 5/8 in. (4.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.309
tempObjectNumber: 17, Title: Bead,  Culture: Minoan Crete,  Medium: Rock crystal,  Dimensions: Diameter: 1/2 x 1/4 in. (1.3 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.198
tempObjectNumber: 18, Title: Gold and garnet ring,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Gold garnet,  Dimensions: Diam.: 15/16 in. (2.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4253
tempObjectNumber: 19, Title: Fragmentary terracotta loutrophoros (ceremonial vase for water),  Attribution: a painter of the Polygnotos Group,  Period: Classical,  Date: ca. 440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. as restored 18 1/4 in. (46.4 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1938,  Accession Number: 38.11.4a b
tempObjectNumber: 20, Title: Black jasper scarab,  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Etruscan,  Medium: Jasper black,  Dimensions: Other: 1/4 x 7/16 x 5/8 in. (0.6 x 1.1 x 1.5 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.534
tempObjectNumber: 21, Title: Glass beaker,  Period: Mid-Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: H.: 4 3/4 x 3 1/4 in. (12 x 8.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.269
tempObjectNumber: 22, Title: Pelike fragmentary,  Attribution: Euthymides,  Period: Archaic,  Date: ca. 520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Mrs. Frieda Tchacos 1990,  Accession Number: 1990.305
