tempObjectNumber: 1, Title: Vase Fragment,  Period: Archaic,  Date: ca. 560–550 B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: Overall: 1 9/16 x 1 15/16in. (4 x 5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.105
tempObjectNumber: 2, Title: Probe double,  Medium: Bronze,  Dimensions: Other: 6 7/8 in. (17.5 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.134
tempObjectNumber: 3, Title: Terracotta bowl fragment,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter of medallion     5.11,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1979
tempObjectNumber: 4, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 13/16 x 1 3/16 in. (2 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1745
tempObjectNumber: 5, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 5 3/8 x 1 15/16in. (13.7 x 5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.117
tempObjectNumber: 6, Title: Bowl,  Period: Cypro-Geometric III ?,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other (mouth): 5 7/8in. (14.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.545
tempObjectNumber: 7, Title: Frontlet of gold leaf,  Medium: Gold,  Dimensions: Other: 2 7/16 × 4 1/16 in. (6.2 × 10.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3529
tempObjectNumber: 8, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass green,  Dimensions: Other: 7/16 x 1/4 x 1/8 in. (1.2 x 0.7 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.506
tempObjectNumber: 9, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 2 7/8 in. (2.2 x 7.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1971
tempObjectNumber: 10, Title: Bronze sanguisuga-type fibula,  Period: Geometric,  Date: 8th–7th century B.C.,  Culture: Italic Villanovan,  Medium: Bronze,  Dimensions: Other: 4 3/4 in. (12 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.4
tempObjectNumber: 11, Title: Marble head of a satyr playing the double flute,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 9 1/2 in. (24.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.56
tempObjectNumber: 12, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 4 5/8 in. (11.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1410
