tempObjectNumber: 1, Title: Glass pendant in the form of a vase,  Period: Late Imperial,  Date: 4th–early 5th century A.D.,  Culture: Roman,  Medium: Glass; rod-formed and trailed,  Dimensions: Height: 7/8 x 9/16 in. (2.2 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.476
tempObjectNumber: 2, Title: Gold earring with carnelian lotos flower pendant,  Date: 6th–5th century B.C.,  Culture: Greek Cypriot,  Medium: Gold carnelian,  Dimensions: length  2 13/16in. (7.2cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3237
tempObjectNumber: 3, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 2 1/16 x 1 3/4in. (5.2 x 4.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.22
tempObjectNumber: 4, Title: Glass cup,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Diam.: 3 1/2 x 2 7/8 in. (8.9 x 7.3 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5731
tempObjectNumber: 5, Title: Terracotta phiale (libation bowl),  Period: Hellenistic,  Date: ca. 250–200 B.C.,  Culture: Etruscan,  Medium: Terracotta; Volsinian Silvered Ware,  Dimensions: H. 1 13/16 in. (4.6 cm); diameter  8 3/4 in. (22.2 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.195
tempObjectNumber: 6, Title: Terracotta rim fragment from a shallow bowl,  Period: Early Minoan II,  Date: ca. 2900–2300 B.C.,  Culture: Minoan,  Medium: Terracotta; Vasiliki ware,  Dimensions: 2 15/16 × 3 3/16 × 7/16 in. (7.5 × 8.1 × 1.1 cm),  Classification: Vases,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.521
tempObjectNumber: 7, Title: Terracotta tankard,  Period: Geometric,  Date: 4th quarter of the 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Other (Height with handle): 7 3/8 in. (18.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.2
tempObjectNumber: 8, Title: Lead votive figurine,  Date: 7th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.118
tempObjectNumber: 9, Title: Jug,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (height without cover): 10 9/16in. (26.9cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.114a b
tempObjectNumber: 10, Title: Vase fragment,  Period: Geometric,  Date: ca. 800–700 B.C.,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 2 3/8 x 1 15/16in. (6 x 5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.140
tempObjectNumber: 11, Title: Ornaments 14,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 1 1/8 in. (2.9 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.138
tempObjectNumber: 12, Title: Dinos,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10 9/16in. (26.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.444
tempObjectNumber: 13, Title: Gold snake ring,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Diam.: 1 1/16 in. (2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4078
tempObjectNumber: 14, Title: Mug oinochoe shape 8,  Period: Classical,  Date: ca. 450–440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 3 1/4 × 2 13/16 × 1 7/8 in. (8.2 × 7.2 × 4.8 cm),  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1950,  Accession Number: 50.152
