tempObjectNumber: 1, Title: Female head,  Period: Late Hellenistic–Early Roman,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta; mold-made,  Dimensions: H. 2 5/16 in. (5.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1510
tempObjectNumber: 2, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Diameter: 1/2 x 1/8 in. (1.3 x 0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3707
tempObjectNumber: 3, Title: Bronze portrait head of a pharaoh,  Period: Late Dynastic-Hellenistic,  Date: 664–31 B.C.,  Culture: Egyptian,  Medium: Bronze,  Dimensions: 2 5/8in. (6.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5585
tempObjectNumber: 4, Title: Terracotta protome of a woman,  Period: Classical,  Date: mid-5th century B.C.,  Culture: Greek Boeotian,  Medium: ,  Dimensions: Overall: 12 3/8 x 11 3/4 x 4 1/8in. (31.5 x 29.8 x 10.5cm),  Classification: Terracottas,  Accession Number: 23.258
tempObjectNumber: 5, Title: Fibula boat-shaped type,  Medium: Bronze,  Dimensions: Other: 2 5/8 in. (6.7 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.348
tempObjectNumber: 6, Title: Fragmentary bronze statuette of a male votary,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1700–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: H. 1 11/16 in. (4.3 cm),  Classification: Bronzes,  Credit Line: Gift of Alexander Boyd Hawes in memory of his mother Harriet Boyd Hawes 1946,  Accession Number: 46.111.4
tempObjectNumber: 7, Title: Terracotta bowl fragment,  Culture: Roman,  Medium: Terracotta; red slip ware,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2139
tempObjectNumber: 8, Title: Jug,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 3/16in. (13.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.394a
tempObjectNumber: 9, Title: Neck of a terracotta oinochoe (jug),  Attribution: the Harrow Painter,  Period: Late Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 4 1/8in. (10.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.13
tempObjectNumber: 10, Title: Marble fragment of a stele (grave marker) of a youth,  Period: Late Classical,  Date: mid-4th century B.C.,  Culture: Greek,  Medium: Marble Pentelic ?,  Dimensions: Overall: 41 9/16 x 13 1/4 x 2 3/4in. (105.5 x 33.7 x 7cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.39
tempObjectNumber: 11, Title: Earring with pendant,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 5/16 x 1/2 x 15/16 in. (0.7 x 1.3 x 2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3799
tempObjectNumber: 12, Title: Bronze statuette of the goddess Fortuna,  Period: Imperial,  Date: ca. 2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 3 1/8 in. (7.9 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.400
tempObjectNumber: 13, Title: Limestone chest with incised decoration,  Period: Geometric–Archaic,  Date: 8th century B.C.?,  Culture: Cypriot,  Medium: Chalk limestone,  Dimensions: Overall: 6 3/4 x 8 3/4 x 4 1/4 in. (17.1 x 22.2 x 10.8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5165
