tempObjectNumber: 1, Title: Glass bowl,  Period: Early Imperial Flavian,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 4 3/8 in. (11.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.122
tempObjectNumber: 2, Title: Terracotta pyxis (box) with lid,  Period: Early Cypriot III–Middle Cypriot I,  Date: ca. 2000–1800 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 3 9/16 in. (9.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1208
tempObjectNumber: 3, Title: Glass cameo: Eros holding a torch,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Length: 5/8 in. (1.6 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.6
tempObjectNumber: 4, Title: Terracotta kylix: band-cup (drinking cup),  Attribution: the Tleson Painter Attributed to Tleson as potter,  Period: Archaic,  Date: ca. 550–540 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  5 9/16 in. (14.1 cm),  Classification: Vases,  Credit Line: Gift of F. W. Rhinelander 1898,  Accession Number: 98.8.16
tempObjectNumber: 5, Title: Terracotta skyphos (deep drinking cup),  : Recalls the Aberdeen Painter,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 6 7/8 in. (17.5 cm); diameter of mouth  8 3/4 in. (22.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.29
tempObjectNumber: 6, Title: Intaglio,  Culture: Roman,  Medium: Glass yellow,  Dimensions: Other: 7/16 x 1/8 in. (1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.796
tempObjectNumber: 7, Title: Chariot fragments crossed cylinders,  Period: Archaic,  Date: ca. 500–480 B.C.,  Culture: Etruscan,  Medium: Bronze,  Classification: Bronzes,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.3m1–m3
tempObjectNumber: 8, Title: Pinhead,  Date: 1st century B.C.–5th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 5/16 x 13/16 in. (0.7 x 2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.628
tempObjectNumber: 9, Title: Terracotta rim of a bowl,  Period: Late Neolithic,  Date: ca. 3800–3300 B.C.,  Culture: Dimini culture,  Medium: Terracotta,  Dimensions: length  4 7/16in. (11.2cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.35
tempObjectNumber: 10, Title: Conical-hemispherical spindle-whorl,  Period: Early Cypriot III–Middle Cypriot II,  Date: ca. 2000–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 1 11/16 in. (4.3 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.906
tempObjectNumber: 11, Title: Gold appliques,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: 5/16 × 1/16 × 9/16 in. (0.8 × 0.2 × 1.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1898,  Accession Number: 98.11.81a b
tempObjectNumber: 12, Title: Earring with disc,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 1/8 × 1/4 × 5/8 in. (0.4 × 0.7 × 1.7 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.218
tempObjectNumber: 13, Title: Carnelian lion in gold swivel ring,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek,  Medium: Carnelian gold,  Dimensions: H.: 9/16 in. (1.4 cm),  Classification: Gems,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.39
tempObjectNumber: 14, Title: Gold annular earring,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter 1 5/16 in. (3.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3151
tempObjectNumber: 15, Title: Steatite cushion-shaped seal,  Period: Middle Minoan II-III,  Date: ca. 1900–1600 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Base 1.3 cm x 1.1 cm; Thickness 0.4 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.27
tempObjectNumber: 16, Title: Limestone statuette of a beardless male votary in Greek dress,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall:H.:15 1/2 x W.:4 7/16 x D.:3 1/4 in. (39.4 x 11.3 x 8.3 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2525
tempObjectNumber: 17, Title: Lamp,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: Overall: 2 x 4 1/8 in. (5.1 x 10.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2138
tempObjectNumber: 18, Title: Glass bowl,  Period: Mid-Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 1/4 x 1 1/2 in. (8.3 x 3.8 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.260
tempObjectNumber: 19, Title: Terracotta statuette of a goddess,  Period: Archaic,  Date: early 6th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H. 7 7/16 in. (18.9 cm),  Classification: Terracottas,  Credit Line: Gift of Raymond S. Waldron Jr. 1982,  Accession Number: 1982.232
tempObjectNumber: 20, Title: Spoon,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 4 1/4 in. (10.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.83
tempObjectNumber: 21, Title: Pinhead,  Date: 1st century B.C.–5th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 5/16 x 5/8 in. (0.8 x 1.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.619
tempObjectNumber: 22, Title: Glass flask,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown tooled and trailed,  Dimensions: Other: 2 7/16in. (6.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.30
tempObjectNumber: 23, Title: Head of Athena with helmet,  Date: 1st century B.C. or 1st century A.D.,  Culture: Italian,  Medium: Terracotta,  Dimensions: H. 5 in. (12.7 cm),  Classification: Terracottas,  Credit Line: Gift of F. W. Rhinelander 1898,  Accession Number: 98.8.2
tempObjectNumber: 24, Title: Bronze handle from a cista (toiletries box),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Praenestine,  Medium: Bronze,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1919,  Accession Number: 19.193
tempObjectNumber: 25, Title: Bead with pomegranate,  Medium: Gold,  Dimensions: Height: 1/4 x 3/16 in. (0.7 x 0.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3639
tempObjectNumber: 26, Title: Oinochoe,  Culture: Etruscan,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 2 15/16 × 1 13/16 in. (7.5 × 4.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.212
tempObjectNumber: 27, Title: Lead votive figurine,  Date: 7th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: H.: 10 1/16 in. (25.6 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.5
tempObjectNumber: 28, Title: Bronze simpulum (ladle),  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: Other (folded): 10 1/4 in. (26.1 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1988,  Accession Number: 1988.11.1
tempObjectNumber: 29, Title: Picrolite figure,  Period: Chalcolithic,  Date: ca. 3900–2500 B.C.,  Culture: Cypriot,  Medium: Picrolite,  Dimensions: H.: 3 3/16 in. (8.1 cm),  Classification: Miscellaneous-Stone,  Credit Line: Rogers Fund 1951,  Accession Number: 51.11.5
tempObjectNumber: 30, Title: Glass aryballos (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 2 9/16 in. (6.5 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.297
tempObjectNumber: 31, Title: Terracotta head of a youth,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 3 1/8 in. (7.92 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.157
tempObjectNumber: 32, Title: Gold emerald carnelian banded onyx and garnet necklace,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Gold emerald carnelian banded onyx with central cabochon garnet,  Dimensions: Other: 13 1/2 in. (34.3 cm),  Classification: Gold and Silver,  Credit Line: Purchase 1895,  Accession Number: 95.16.13
tempObjectNumber: 33, Title: Sard intaglio portrait of a woman,  Attribution: Solon and his circle,  Period: Augustan,  Date: late 1st century B.C.,  Culture: Roman,  Medium: Brownish Sard,  Dimensions: diameter  1 in. (2.5 cm),  Classification: Gems,  Credit Line: Purchase Charles Butt Gift 1997,  Accession Number: 1997.184
tempObjectNumber: 34, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/2 × 1 13/16 × 3/16 in. (3.8 × 4.6 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.236
tempObjectNumber: 35, Title: Bust of a goddess,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: H. 9 in. (22.91 cm),  Classification: Terracottas,  Credit Line: Gift of Andrea and Donatella Hecht 1981,  Accession Number: 1981.472.4
