tempObjectNumber: 1, Title: Nicolo intaglio: Two standing figures,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Nicolo,  Dimensions: Other: 5/8 x 1/2 x 1/4 in. (1.6 x 1.3 x 0.6 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.291
tempObjectNumber: 2, Title: Plaque from casket,  Medium: Ivory,  Dimensions: Other: 2 3/16 x 5 13/16 x 5/16 in. (5.5 x 14.8 x 0.8 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.100
tempObjectNumber: 3, Title: Askos in the form of a bird,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 7/16in. (8.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1110
tempObjectNumber: 4, Title: Beads 17,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 4 1/4 x 5/16 in. (10.8 x 0.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.557
tempObjectNumber: 5, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: Other: 11/16 × 3/4 × 1/16 in. (1.8 × 2 × 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3888
tempObjectNumber: 6, Title: Hematite intaglio: Lion-headed god,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Hematite,  Dimensions: H.: 1 5/16 in. (3.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4299
tempObjectNumber: 7, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 1/4 x 1/2in. (3.2 x 1.3cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.159
tempObjectNumber: 8, Title: Miniature terracotta situla (bucket),  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian Gnathian,  Medium: Terracotta; applied color,  Dimensions: H. 3 in. (7.7 cm); diameter  1 in. (2.5 cm),  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. Milton Brown 1983,  Accession Number: 1983.528.2
tempObjectNumber: 9, Title: Terracotta jug,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 12 3/8 in. (31.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.539
tempObjectNumber: 10, Title: Female head,  Period: Classical,  Date: mid–5th century B.C.,  Culture: Greek Attic ?,  Medium: Terracotta; mold-made,  Dimensions: H. 1 3/4 in. (4.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1512
tempObjectNumber: 11, Title: Limestone funerary bust of a woman,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 8 1/2 x 5 x 7 1/2 in. (21.6 x 12.7 x 19.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2786
