tempObjectNumber: 1, Title: Bronze bust of a Silenus,  Period: Imperial,  Date: ca. A.D. 50–125,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 4 3/4 in. (12 cm),  Classification: Bronzes,  Credit Line: Gift of the Estate of Jacob Hirsch in memory of Dr. & Mrs. Jacob Hirsch,  Accession Number: 55.129.2
tempObjectNumber: 2, Title: Gold bobbin with a nereid on a dolphin,  Period: Classical,  Date: ca. 400–350 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 13/16 x 3/8in. (2 x 1cm),  Classification: Gold and Silver,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.89
tempObjectNumber: 3, Title: Gold pendant,  Period: Early Minoan II–III,  Date: ca. 2300–2100 B.C.,  Culture: Minoan,  Medium: Gold,  Dimensions: Overall: 9/16 x 11/16 in. (1.5 x 1.8 cm),  Classification: Gold and Silver,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.420
tempObjectNumber: 4, Title: Vase fragment,  Period: Neolithic first period,  Date: ca. 4000 B.C.,  Culture: Neolithic Nemea,  Medium: Terracotta,  Dimensions: length  1 9/16in. (3.9cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.41
tempObjectNumber: 5, Title: Fragment of a terracotta bell-krater (mixing bowl),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek South Italian Lucanian,  Medium: Terracotta; red-figure,  Dimensions: H. 3 1/4 in. (8.2 cm),  Classification: Vases,  Credit Line: Gift of Herbert A. Cahn 1962,  Accession Number: 62.88.3
tempObjectNumber: 6, Title: Terracotta amphora (jar),  : Related to the Antimenes Painter,  Period: Archaic,  Date: ca. 510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 23 1/4 in. (59.1 cm); diameter 14 5/8 in. (37.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.174
tempObjectNumber: 7, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 5/16 × 1 7/16 × 1/4 in. (3.4 × 3.7 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.123
tempObjectNumber: 8, Title: Bronze relief of a Roman soldier and a barbarian,  Period: Mid-Imperial Severan,  Date: ca. A.D. 200,  Culture: Roman,  Medium: Bronze,  Dimensions: Greatest height 4 3/16 in. (10.7 cm); Greatest width 2 13/16 in. (7.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1911,  Accession Number: 11.140.8
tempObjectNumber: 9, Title: Fragment of a terracotta bowl,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Terracotta; terra sigillata /check/,  Dimensions: H.: 1 5/16 x 3 5/8 x 1/4 in. (3.3 x 9.2 x 0.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2539
tempObjectNumber: 10, Title: Terracotta situla (bucket),  Period: Hellenistic,  Date: early 3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta; black-glaze,  Dimensions: H. 8 1/2 in. (21.6 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.3
tempObjectNumber: 11, Title: Small marble statue of an athlete,  Period: Hellenistic,  Date: 3rd or 2nd century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: H. 17 3/8 in. (44.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.3
tempObjectNumber: 12, Title: Glass perfume bottle,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 1 1/4 in. (3.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.271
tempObjectNumber: 13, Title: Earring,  Medium: Gold,  Dimensions: Other: 7/16 × 7/16 × 15/16 in. (1.1 × 1 × 2.4 cm),  Classification: Gold and Silver,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.15
tempObjectNumber: 14, Title: Glass ribbed bowl,  Period: Early Imperial,  Date: 1st century AD,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Diam.: 2 5/8 in. (6.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.180
tempObjectNumber: 15, Title: Marble statue of a woman,  Period: Late Classical,  Date: 2nd half of the 4th century B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: H. (H. without plinth): 66 1/8 in. (168 cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mrs. Frederick F. Thompson 1903,  Accession Number: 03.12.17
tempObjectNumber: 16, Title: Seal,  Culture: Minoan Crete,  Medium: Jasper,  Dimensions: Other: 1/2 x 5/8 x 1/4 in. (1.3 x 1.6 x 0.6 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.311
tempObjectNumber: 17, Title: Glass jug,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 5/8in. (6.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.114
tempObjectNumber: 18, Title: Banded agate scarab,  Period: Classical,  Date: late 5th century–4th century B.C.,  Culture: Etruscan Civita Castellana,  Medium: Agate banded,  Dimensions: Overall: 11/16 x 1/2 in. (1.7 x 1.3 cm),  Classification: Gems,  Credit Line: Rogers Fund 1911,  Accession Number: 11.195.2
tempObjectNumber: 19, Title: Glass jug,  Period: Early to Mid Imperial,  Date: mid-1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown trailed and tooled,  Dimensions: Other: 3 5/8in. (9.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.141
tempObjectNumber: 20, Title: Bronze plaque,  Period: Late Imperial,  Date: ca. A.D. 247,  Culture: Roman,  Medium: Bronze,  Dimensions: H.: 4 x 5 in. (10.2 x 12.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1923,  Accession Number: 23.160.50
tempObjectNumber: 21, Title: Terracotta necklace with palmette and lotus pendants,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Classification: Terracottas,  Credit Line: Gift of Mr. Fahim Kouchakji 1965,  Accession Number: 65.76.1
tempObjectNumber: 22, Title: Terracotta seated veiled woman,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 2 5/8 in. (6.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1740
tempObjectNumber: 23, Title: Vase fragment,  Period: Middle Helladic,  Date: ca. 2000–1600 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: Other: 1 9/16in. (4cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.83
tempObjectNumber: 24, Title: Amulet Anubis,  Medium: Clay glazed,  Dimensions: Other: 1 9/16 x 7/16 x 7/16 in. (4 x 1.2 x 1.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4490
tempObjectNumber: 25, Title: Bronze cista (toiletries box),  Period: Hellenistic,  Date: early 3rd century B.C.,  Culture: Etruscan or Praenestine,  Medium: Bronze,  Dimensions: H. 7 5/8 in. (19.4 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.2
tempObjectNumber: 26, Title: Spout with lion mask,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: Overall: 6 1/16 x 8 5/16in. (15.4 x 21.1cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1920,  Accession Number: 20.252
