tempObjectNumber: 1, Title: Wall painting fragment,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 4 7/16 x 4 5/16 x 3/8 in. (11.2 x 11 x 1 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Miss A. Rivier 1930,  Accession Number: 30.142.9
tempObjectNumber: 2, Title: Statuette of a Woman,  Medium: Bronze,  Dimensions: H.: 2 15/16 in. (7.5 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.387
tempObjectNumber: 3, Title: Glass bowl,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Diam.: 3 7/8 x 3 7/8 in. (9.8 x 9.8 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.291
tempObjectNumber: 4, Title: Ring with garnet,  Medium: Gold garnet,  Dimensions: Other: 3/4 × 13/16 × 5/16 in. (1.9 × 2.1 × 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4268
tempObjectNumber: 5, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 13/16 in. (1.6 x 2.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2007
tempObjectNumber: 6, Title: Glass bowl,  Period: Mid-Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 7/8 x 2 5/8 in. (9.8 x 6.7 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.278
tempObjectNumber: 7, Title: Earring-loop type,  Medium: Gold,  Dimensions: Other: 1/8 x 5/16 x 9/16 in. (0.3 x 0.7 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3735
tempObjectNumber: 8, Title: Bronze statuette of an artisan with silver eyes,  Period: Late Hellenistic,  Date: ca. mid-1st century B.C.,  Culture: Greek,  Medium: Bronze silver,  Dimensions: 15 7/8 × 5 1/8 × 4 1/4 in. 15 lb. (40.3 × 13 × 10.8 cm 6.8 kg),  Classification: Bronzes,  Credit Line: Rogers Fund 1972,  Accession Number: 1972.11.1
tempObjectNumber: 9, Title: Terracotta bottle,  Period: Middle Cypriot I–II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 3/16 in. (13.2 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1234
tempObjectNumber: 10, Title: Glass striped mosaic fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Overall: 1 3/8 x 1 3/4 in. (3.5 x 4.4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1679
tempObjectNumber: 11, Title: Gold earring with woman's head,  Period: Hellenistic,  Date: 3rd‒2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 3/4 x 3/8 x 15/16 in. (1.9 x 1 x 2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3513
tempObjectNumber: 12, Title: Agate scarab,  Period: Classical,  Date: 450–400 B.C.,  Culture: Etruscan,  Medium: Banded agate,  Dimensions: H.: 3/4 x 5/8 in. (1.9 x 1.6 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.550
tempObjectNumber: 13, Title: Limestone head of Herakles wearing the lion skin,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 6 x 4 1/8 x 5 1/16 in. (15.2 x 10.5 x 12.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2657
tempObjectNumber: 14, Title: Statuette of a youth,  Medium: Bronze,  Dimensions: H.: 3 1/2 in. (8.9 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.397
tempObjectNumber: 15, Title: Seal,  Culture: Minoan Crete,  Medium: Haemaetite,  Dimensions: Other: 7/16 x 13/16 x 1/4 in. (1.1 x 2.1 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.271
